title,year,region,genre,rating,vote_count,director,douban_id,url,cover_url,actors,duration,language,summary
The Wandering Earth,2019,China,Sci-Fi,7.9,1200000,Frant Gwo,1292052,https://movie.douban.com/subject/1292052/,https://example.com/wandering-earth.jpg,Wu Jing; Qu Chuxiao; Li Guangjie,125,Mandarin,A sci-fi film about humans trying to move Earth away from the expanding sun.
Ne Zha,2019,China,Animation,8.4,1800000,Jiaozi,26794435,https://movie.douban.com/subject/26794435/,https://example.com/ne-zha.jpg,Lü Yanting; Joseph; Han Mo,110,Mandarin,A young boy born with magical powers fights against fate and prejudice.
Farewell My Concubine,1993,China,Drama,9.6,2100000,Chen Kaige,1291546,https://movie.douban.com/subject/1291546/,https://example.com/farewell-my-concubine.jpg,Leslie Cheung; Zhang Fengyi; Gong Li,171,Mandarin,A historical drama about two Peking opera performers and their complicated lives.
Infernal Affairs,2002,Hong Kong,Crime,9.3,1500000,Andrew Lau,1307914,https://movie.douban.com/subject/1307914/,https://example.com/infernal-affairs.jpg,Andy Lau; Tony Leung; Anthony Wong,101,Cantonese,A police officer and a mole inside the police force try to discover each other's identity.
In the Mood for Love,2000,Hong Kong,Romance,8.8,1000000,Wong Kar-wai,1291557,https://movie.douban.com/subject/1291557/,https://example.com/in-the-mood-for-love.jpg,Tony Leung; Maggie Cheung,98,Cantonese,Two neighbors form a close bond after suspecting their spouses of having an affair.
Crouching Tiger Hidden Dragon,2000,China,Action,8.4,900000,Ang Lee,1301168,https://movie.douban.com/subject/1301168/,https://example.com/crouching-tiger.jpg,Chow Yun-fat; Michelle Yeoh; Zhang Ziyi,120,Mandarin,A martial arts story involving love duty and a stolen sword.
Better Days,2019,China,Drama,8.2,950000,Derek Tsang,30166972,https://movie.douban.com/subject/30166972/,https://example.com/better-days.jpg,Zhou Dongyu; Jackson Yee,135,Mandarin,A high school girl and a street teenager protect each other before the national exam.
A Simple Life,2011,Hong Kong,Drama,8.3,420000,Ann Hui,5912992,https://movie.douban.com/subject/5912992/,https://example.com/a-simple-life.jpg,Andy Lau; Deanie Ip,118,Cantonese,A moving story about the relationship between a film producer and his family servant.
Hi Mom,2021,China,Comedy,7.7,1300000,Jia Ling,34841067,https://movie.douban.com/subject/34841067/,https://example.com/hi-mom.jpg,Jia Ling; Zhang Xiaofei; Shen Teng,128,Mandarin,A daughter travels back in time and meets her young mother.
Hero,2002,China,Action,8.0,850000,Zhang Yimou,1306123,https://movie.douban.com/subject/1306123/,https://example.com/hero.jpg,Jet Li; Tony Leung; Maggie Cheung; Zhang Ziyi,99,Mandarin,A nameless warrior recounts his encounters with assassins in ancient China.